predictor,label,odds_ratio,or_low,or_high,p_value
ln_ff_mv,Log free-float market value,2.5460671553996264,1.820321759486352,3.5611605069391294,4.789057450215044e-08
liqui,Liquidity proxy (liqui),3.898948521196173,1.568377179950552,9.692693674245575,0.0034053841600228535
ln_total_mv,Log total market value,17.038713549296386,10.874819776050098,26.69632834323845,3.5091678718140133e-35
